reqPerEdgePerSecond;name;type;processing_earnings;storage_earnings;processed_reqs;delegated_reqs;no_executables
9700;intermediary;INTERMEDIARY;8543384,4313;94,4291;83204;1060838;10
9700;Cloud;CLOUD;105064275,5102;94,4291;1060838;0;10
9800;edge;EDGE;2781930,0566;94,4291;20002;1155998;10
9800;intermediary;INTERMEDIARY;8532509,0603;94,4291;83037;1072961;10
9800;Cloud;CLOUD;106267062,9901;94,4291;1072961;0;10
9900;edge;EDGE;2793222,3773;94,4291;20041;1167959;10
9900;intermediary;INTERMEDIARY;8523801,5911;94,4291;82875;1085084;10
9900;Cloud;CLOUD;107462716,5917;94,4291;1085084;0;10
10000;edge;EDGE;2797347,5855;94,4291;20059;1179941;10
10000;intermediary;INTERMEDIARY;8539546,8614;94,4291;82953;1096988;10
10000;Cloud;CLOUD;108639632,9411;94,4291;1096988;0;10
